category	watterson	tajima	fay_wu	pop	species	method	D_tajima	H_fay_wu
$-3<S<-1$	0.1541474674170902	0.09822662235584227	0.03510671097749107	Zambia	Chlorocebus_sabaeus	MutSel	-0.055920845061247934	0.06311991137835121
$S<-3$	0.16947114571760302	0.10335012358801586	0.02998320974531748	Zambia	Chlorocebus_sabaeus	MutSel	-0.06612102212958716	0.07336691384269838
$1<S$	0.13563472754780356	0.09136543610917423	0.0419678972241591	Zambia	Chlorocebus_sabaeus	Omega	-0.04426929143862933	0.049397538885015135
$0<S<1$	0.1455313415086342	0.09448131584220708	0.03885201749112625	Zambia	Chlorocebus_sabaeus	Omega	-0.05105002566642712	0.055629298351080825
Synonymous	0.14567707171591493	0.09505800831432253	0.038275325019010834	Zambia	Chlorocebus_sabaeus	Omega	-0.050619063401592404	0.05678268329531169
$-1<S<0$	0.14717815312924792	0.09542797855709327	0.03790535477624005	Zambia	Chlorocebus_sabaeus	Omega	-0.05175017457215465	0.057522623780853224
$-3<S<-1$	0.153481079894068	0.09783373189445482	0.035499601438878516	Zambia	Chlorocebus_sabaeus	Omega	-0.055647347999613184	0.06233413045557631
$S<-3$	0.16989676648465646	0.10335188200523007	0.029981451328103238	Zambia	Chlorocebus_sabaeus	Omega	-0.06654488447942639	0.07337043067712684
$1<S$	0.15780997638975766	0.0955009872563941	0.03783234607693923	AFR	Homo_sapiens	MutSel	-0.062308989133363565	0.05766864117945487
$0<S<1$	0.1715919002343168	0.10115251189454648	0.03218082143878683	AFR	Homo_sapiens	MutSel	-0.07043938833977033	0.06897169045575965
Synonymous	0.16973604844528006	0.100632540787644	0.032700792545689354	AFR	Homo_sapiens	MutSel	-0.06910350765763607	0.06793174824195464
$-1<S<0$	0.17731358657374788	0.10241280059022798	0.030920532743105376	AFR	Homo_sapiens	MutSel	-0.0749007859835199	0.07149226784712259
$-3<S<-1$	0.1890608413983121	0.10582957371734067	0.027503759615992652	AFR	Homo_sapiens	MutSel	-0.08323126768097144	0.07832581410134802
$S<-3$	0.21257950124437086	0.11127066180468476	0.022062671528648582	AFR	Homo_sapiens	MutSel	-0.1013088394396861	0.08920799027603618
$1<S$	0.16199860782367145	0.09775877955420358	0.035574553779129776	AFR	Homo_sapiens	Omega	-0.06423982826946788	0.0621842257750738
$0<S<1$	0.17193455769112628	0.10113249360413433	0.032200839729199	AFR	Homo_sapiens	Omega	-0.07080206408699195	0.06893165387493533
Synonymous	0.16999401049738505	0.10070391379919773	0.03262941953413561	AFR	Homo_sapiens	Omega	-0.06929009669818732	0.06807449426506212
$-1<S<0$	0.17496525688600492	0.10186386792178934	0.031469465411544016	AFR	Homo_sapiens	Omega	-0.07310138896421559	0.07039440251024531
$-3<S<-1$	0.18380183320575685	0.10434410923612968	0.02898922409720368	AFR	Homo_sapiens	Omega	-0.07945772396962718	0.07535488513892599
$S<-3$	0.2079838682274908	0.10971823003159974	0.02361510330173361	AFR	Homo_sapiens	Omega	-0.09826563819589106	0.08610312672986613
$1<S$	0.1374663917815394	0.08866977218387223	0.04466356114946105	AMR	Homo_sapiens	MutSel	-0.04879661959766718	0.04400621103441118
$0<S<1$	0.1525010564005124	0.09446706010077542	0.03886627323255792	AMR	Homo_sapiens	MutSel	-0.058033996299736976	0.055600786868217504
Synonymous	0.14961857239372006	0.09385132691860827	0.03948200641472505	AMR	Homo_sapiens	MutSel	-0.05576724547511179	0.05436932050388322
$-1<S<0$	0.1569816743775815	0.09594914721167024	0.03738418612166312	AMR	Homo_sapiens	MutSel	-0.061032527165911274	0.05856496109000712
$-3<S<-1$	0.1684741555924376	0.09970937971728563	0.03362395361604768	AMR	Homo_sapiens	MutSel	-0.06876477587515198	0.06608542610123795
$S<-3$	0.1980749725062406	0.1067064627291216	0.026626870604211744	AMR	Homo_sapiens	MutSel	-0.091368509777119	0.08007959212490985
$1<S$	0.14506038554495668	0.0919246304594938	0.041408702873839534	AMR	Homo_sapiens	Omega	-0.05313575508546288	0.05051592758565426
$0<S<1$	0.15498562601242302	0.09509964127067662	0.03823369206265671	AMR	Homo_sapiens	Omega	-0.059885984741746404	0.056865949208019906
Synonymous	0.14976752992605522	0.09382810736493873	0.03950522596839465	AMR	Homo_sapiens	Omega	-0.05593942256111649	0.05432288139654408
$-1<S<0$	0.1543799553203657	0.09560138282469577	0.03773195050863757	AMR	Homo_sapiens	Omega	-0.05877857249566992	0.0578694323160582
$-3<S<-1$	0.16371338139990466	0.09798431116883374	0.03534902216449956	AMR	Homo_sapiens	Omega	-0.06572907023107091	0.06263528900433418
$S<-3$	0.19298574049162476	0.10496394214580893	0.02836939118752445	AMR	Homo_sapiens	Omega	-0.08802179834581583	0.07659455095828448
$1<S$	0.13014786452130245	0.08652126835446401	0.04681206497886936	EAS	Homo_sapiens	MutSel	-0.043626596166838436	0.03970920337559465
$0<S<1$	0.14379636671049495	0.09192171517590206	0.04141161815743125	EAS	Homo_sapiens	MutSel	-0.05187465153459289	0.050510097018470805
Synonymous	0.1396063742156664	0.0909317382908166	0.042401595042516727	EAS	Homo_sapiens	MutSel	-0.0486746359248498	0.04853014324829988
$-1<S<0$	0.14752528705154722	0.09323604663601054	0.04009728669732277	EAS	Homo_sapiens	MutSel	-0.05428924041553668	0.05313875993868777
$-3<S<-1$	0.15816951293708492	0.09660858470370992	0.036724748629623404	EAS	Homo_sapiens	MutSel	-0.061560928233375	0.05988383607408652
$S<-3$	0.1922726315295341	0.10505167083690127	0.02828166249643205	EAS	Homo_sapiens	MutSel	-0.08722096069263284	0.07677000834046922
$1<S$	0.1365546180026416	0.09032251442099268	0.04301081891234062	EAS	Homo_sapiens	Omega	-0.04623210358164892	0.04731169550865206
$0<S<1$	0.14503527855361964	0.09280442691918232	0.040528906414151036	EAS	Homo_sapiens	Omega	-0.05223085163443732	0.05227552050503129
Synonymous	0.13917735255478195	0.0908238362393289	0.042509497094004436	EAS	Homo_sapiens	Omega	-0.04835351631545305	0.04831433914532446
$-1<S<0$	0.1458746643821008	0.09266959066730283	0.040663742666030483	EAS	Homo_sapiens	Omega	-0.053205073714797976	0.05200584800127235
$-3<S<-1$	0.15453405772881107	0.09515684278404464	0.038176490549288684	EAS	Homo_sapiens	Omega	-0.05937721494476643	0.056980352234755956
$S<-3$	0.18662186577421014	0.10304684294451473	0.0302864903888186	EAS	Homo_sapiens	Omega	-0.08357502282969541	0.07276035255569613
$1<S$	0.13007668342574205	0.08731217764091563	0.0460211556924177	EUR	Homo_sapiens	MutSel	-0.04276450578482642	0.04129102194849793
$0<S<1$	0.1448921635687566	0.09288926683353667	0.040444066499796635	EUR	Homo_sapiens	MutSel	-0.05200289673521992	0.05244520033374003
Synonymous	0.14180079026413642	0.09229388700996433	0.04103944632336901	EUR	Homo_sapiens	MutSel	-0.04950690325417209	0.051254440686595314
$-1<S<0$	0.14944302249618294	0.09468211571761967	0.03865121761571369	EUR	Homo_sapiens	MutSel	-0.05476090677856327	0.05603089810190598
$-3<S<-1$	0.1614037789046706	0.09808094394597433	0.035252389387359015	EUR	Homo_sapiens	MutSel	-0.06332283495869626	0.06282855455861532
$S<-3$	0.1929975268672314	0.10572404532572956	0.027609288007603764	EUR	Homo_sapiens	MutSel	-0.08727348154150184	0.0781147573181258
$1<S$	0.13908842779104585	0.09065033782460392	0.0426829955087294	EUR	Homo_sapiens	Omega	-0.04843808996644193	0.047967342315874524
$0<S<1$	0.14353616996048718	0.09238669350818676	0.0409466398251466	EUR	Homo_sapiens	Omega	-0.05114947645230042	0.051440053683040166
Synonymous	0.14206050687092406	0.09241363348513144	0.04091969984820188	EUR	Homo_sapiens	Omega	-0.049646873385792614	0.05149393363692956
$-1<S<0$	0.14587703556819212	0.0940074066275752	0.039325926705758116	EUR	Homo_sapiens	Omega	-0.05186962894061692	0.054681479921817086
$-3<S<-1$	0.15657830492765526	0.09640105603221062	0.0369322773011227	EUR	Homo_sapiens	Omega	-0.06017724889544464	0.05946877873108792
$S<-3$	0.1883526948502872	0.10420713587922716	0.0291261974541062	EUR	Homo_sapiens	Omega	-0.08414555897106003	0.07508093842512095
$1<S$	0.13531423420642652	0.08832549203753035	0.04500784129580298	SAS	Homo_sapiens	MutSel	-0.046988742168896175	0.043317650741727366
$0<S<1$	0.14779618782596765	0.09384510807396332	0.039488225259370006	SAS	Homo_sapiens	MutSel	-0.05395107975200433	0.05435688281459331
